code_sh,niveau,description_en,description_fr_a_completer,parent,section
01,chapitre,Animals; live,,TOTAL,I
0101,position,"Horses, asses, mules and hinnies; live",,01,I
010121,sous_position,"Horses; live, pure-bred breeding animals",,0101,I
010129,sous_position,"Horses; live, other than pure-bred breeding animals",,0101,I
010130,sous_position,Asses; live,,0101,I
010190,sous_position,Mules and hinnies; live,,0101,I
0102,position,Bovine animals; live,,01,I
010221,sous_position,"Cattle; live, pure-bred breeding animals",,0102,I
010229,sous_position,"Cattle; live, other than pure-bred breeding animals",,0102,I
010231,sous_position,"Buffalo; live, pure-bred breeding animals",,0102,I
010239,sous_position,"Buffalo; live, other than pure-bred breeding animals",,0102,I
010290,sous_position,"Bovine animals; live, other than cattle and buffalo",,0102,I
0103,position,Swine; live,,01,I
010310,sous_position,"Swine; live, pure-bred breeding animals",,0103,I
010391,sous_position,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",,0103,I
010392,sous_position,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",,0103,I
0104,position,Sheep and goats; live,,01,I
010410,sous_position,Sheep; live,,0104,I
010420,sous_position,Goats; live,,0104,I
0105,position,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",,01,I
010511,sous_position,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",,0105,I
010512,sous_position,"Poultry; live, turkeys, weighing not more than 185g",,0105,I
010513,sous_position,"Poultry; live, ducks, weighing not more than 185g",,0105,I
010514,sous_position,"Poultry; live, geese, weighing not more than 185g",,0105,I
010515,sous_position,"Poultry; live, guinea fowls, weighing not more than 185g",,0105,I
010594,sous_position,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",,0105,I
010599,sous_position,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",,0105,I
0106,position,"Animals; live, n.e.c. in chapter 01",,01,I
010611,sous_position,"Mammals; live, primates",,0106,I
010612,sous_position,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,0106,I
010613,sous_position,"Mammals; live, camels and other camelids (Camelidae)",,0106,I
010614,sous_position,"Mammals; live, rabbits and hares",,0106,I
010619,sous_position,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",,0106,I
010620,sous_position,Reptiles; live (including snakes and turtles),,0106,I
010631,sous_position,"Birds; live, birds of prey",,0106,I
010632,sous_position,"Birds; live, Psittaciformes",,0106,I
010633,sous_position,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",,0106,I
010639,sous_position,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",,0106,I
010641,sous_position,"Insects; live, bees",,0106,I
010649,sous_position,"Insects; live, other than bees",,0106,I
010690,sous_position,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",,0106,I
02,chapitre,Meat and edible meat offal,,TOTAL,I
0201,position,Meat of bovine animals; fresh or chilled,,02,I
020110,sous_position,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",,0201,I
020120,sous_position,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",,0201,I
020130,sous_position,"Meat; of bovine animals, boneless cuts, fresh or chilled",,0201,I
0202,position,Meat of bovine animals; frozen,,02,I
020210,sous_position,"Meat; of bovine animals, carcasses and half-carcasses, frozen",,0202,I
020220,sous_position,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",,0202,I
020230,sous_position,"Meat; of bovine animals, boneless cuts, frozen",,0202,I
0203,position,"Meat of swine; fresh, chilled or frozen",,02,I
020311,sous_position,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",,0203,I
020312,sous_position,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",,0203,I
020319,sous_position,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",,0203,I
020321,sous_position,"Meat; of swine, carcasses and half-carcasses, frozen",,0203,I
020322,sous_position,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",,0203,I
020329,sous_position,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",,0203,I
0204,position,"Meat of sheep or goats; fresh, chilled or frozen",,02,I
020410,sous_position,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",,0204,I
020421,sous_position,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",,0204,I
020422,sous_position,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",,0204,I
020423,sous_position,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",,0204,I
020430,sous_position,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",,0204,I
020441,sous_position,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",,0204,I
020442,sous_position,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",,0204,I
020443,sous_position,"Meat; of sheep (including lamb), boneless cuts, frozen",,0204,I
020450,sous_position,"Meat; of goats, fresh, chilled or frozen",,0204,I
0205,position,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",,02,I
020500,sous_position,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",,0205,I
0206,position,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",,02,I
020610,sous_position,"Offal, edible; of bovine animals, fresh or chilled",,0206,I
