section,titre_fr,titre_en
I,Animaux vivants et produits du règne animal,live animals; animal products
II,Produits du règne végétal,Vegetable products
III,"Graisses et huiles animales, végétales ou d'origine microbienne et produits de leur dissociation; graisses alimentaires élaborées; cires d'origine animale ou végétale","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes"
IV,"Produits des industries alimentaires; boissons, liquides alcooliques et vinaigres; tabacs et succédanés de tabac fabriqués","Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
V,Produits minéraux,Mineral products
VI,Produits des industries chimiques ou des industries connexes,Products of the chemical or allied industries
VII,Matières plastiques et ouvrages en ces matières; caoutchouc et ouvrages en caoutchouc,Plastics and articles thereof; rubber and articles thereof
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières; articles de bourrellerie ou de sellerie; articles de voyage, sacs à main et contenants similaires; ouvrages en boyaux","Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut"
IX,"Bois, charbon de bois et ouvrages en bois; liège et ouvrages en liège; ouvrages de sparterie ou de vannerie","Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials"
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques; papier ou carton à recycler; papier ou carton et ouvrages en ces matières,"Pulp of wood or of other fibrous cellulosic material; recovered paper or paperboard; paper and paperboard and articles thereof"
XI,Matières textiles et ouvrages en ces matières,Textiles and textile articles
XII,"Chaussures, coiffures, parapluies, parasols, cannes, cannes-sièges, fouets, cravaches et leurs parties; plumes apprêtées et articles en plumes; fleurs artificielles; ouvrages en cheveux","Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair"
XIII,"Ouvrages en pierres, plâtre, ciment, amiante, mica ou matières analogues; produits céramiques; verre et ouvrages en verre","Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware"
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaqués ou doublés de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies","Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin"
XV,Métaux communs et ouvrages en ces métaux,Base metals and articles of base metal
XVI,"Machines et appareils, matériel électrique et leurs parties; appareils d'enregistrement ou de reproduction du son, appareils d'enregistrement ou de reproduction des images et du son en télévision, et parties et accessoires de ces appareils","Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles"
XVII,Matériel de transport,Vehicles, aircraft, vessels and associated transport equipment
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographie, de mesure, de contrôle ou de précision; instruments et appareils médico-chirurgicaux; horlogerie; instruments de musique; parties et accessoires de ces instruments ou appareils","Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof"
XIX,"Armes, munitions et leurs parties et accessoires",Arms and ammunition; parts and accessories thereof
XX,Marchandises et produits divers,Miscellaneous manufactured articles
XXI,"Objets d'art, de collection ou d'antiquité",Works of art, collectors' pieces and antiques
